Chronect Barcode,Rack ID,Row,Column
FS06527278,1,A,1
FS06527270,1,A,2
FS06527262,1,A,3
FS06527254,1,A,4
FS06527246,1,A,5
FS06527238,1,A,6
FS06527325,1,A,7
FS06527317,1,A,8
FS06527309,1,A,9
FS06527301,1,A,10
FS06527293,1,A,11
FS06527285,1,A,12
FS06527277,1,B,1
FS06527269,1,B,2
FS06527261,1,B,3
FS06527253,1,B,4
FS06527245,1,B,5
FS06527237,1,B,6
FS06527324,1,B,7
FS06527316,1,B,8
FS06527308,1,B,9
FS06527300,1,B,10
FS06527292,1,B,11
FS06527284,1,B,12
FS06527276,1,C,1
FS06527268,1,C,2
FS06527260,1,C,3
FS06527252,1,C,4
FS06527244,1,C,5
FS06527236,1,C,6
FS06527323,1,C,7
FS06527315,1,C,8
FS06527307,1,C,9
FS06527299,1,C,10
FS06527291,1,C,11
FS06527283,1,C,12
FS06527275,1,D,1
FS06527267,1,D,2
FS06527259,1,D,3
FS06527251,1,D,4
FS06527243,1,D,5
FS06527235,1,D,6
FS06527322,1,D,7
FS06527314,1,D,8
FS06527306,1,D,9
FS06527298,1,D,10
FS06527290,1,D,11
FS06527282,1,D,12
FS06527274,1,E,1
FS06527266,1,E,2
FS06527258,1,E,3
FS06527250,1,E,4
FS06527242,1,E,5
FS06527234,1,E,6
FS06527321,1,E,7
FS06527313,1,E,8
FS06527305,1,E,9
FS06527297,1,E,10
FS06527289,1,E,11
FS06527281,1,E,12
FS06527273,1,F,1
FS06527265,1,F,2
FS06527257,1,F,3
FS06527249,1,F,4
FS06527241,1,F,5
FS06527233,1,F,6
